idSensor,week,maxTemp,minTemp,rainSum,windSpeed,maxOzone
5707,2018-01-01/2018-01-07,12.0,-1.3,20.3,21.3,78.4
5707,2018-01-08/2018-01-14,11.7,-0.9,57.300000000000004,35.5,59.6
5707,2018-01-15/2018-01-21,13.5,-3.2,2.5999999999999996,22.0,79.7
5707,2018-01-22/2018-01-28,10.2,-2.2,15.3,15.5,49.6
5707,2018-01-29/2018-02-04,10.0,-1.3,4.4,16.9,55.7
5707,2018-02-05/2018-02-11,10.1,-1.1,30.4,13.2,82.4
5707,2018-02-12/2018-02-18,8.9,-3.9,0.8999999999999999,25.8,77.8
5707,2018-02-19/2018-02-25,9.5,-2.3,17.3,19.1,75.2
5707,2018-02-26/2018-03-04,6.6,-6.4,1.3,12.9,81.3
5707,2018-03-05/2018-03-11,13.8,-0.5,57.1,14.2,95.4
5707,2018-03-12/2018-03-18,15.6,2.4,59.900000000000006,20.9,92.0
5707,2018-03-19/2018-03-25,12.2,-0.5,6.6,19.9,103.0
5707,2018-03-26/2018-04-01,16.7,0.2,32.0,22.7,106.9
5707,2018-04-02/2018-04-08,18.1,4.1,22.400000000000002,17.8,114.5
5707,2018-04-09/2018-04-15,20.3,6.5,98.7,21.6,119.4
5707,2018-04-16/2018-04-22,21.5,9.6,1.1,7.8,83.5
5707,2018-04-23/2018-04-29,23.6,13.4,27.599999999999998,13.0,139.2
5707,2018-04-30/2018-05-06,26.0,9.8,42.7,23.9,121.4
5707,2018-05-07/2018-05-13,23.7,11.9,41.9,18.4,139.2
5707,2018-05-14/2018-05-20,22.5,8.6,43.0,19.2,137.9
5707,2018-05-21/2018-05-27,26.8,12.8,28.4,15.5,161.1
5707,2018-05-28/2018-06-03,26.3,14.5,51.3,15.9,140.8
5707,2018-06-04/2018-06-10,27.4,14.6,49.6,13.2,121.4
5707,2018-06-11/2018-06-17,27.4,16.3,15.600000000000001,17.5,173.3
5707,2018-06-18/2018-06-24,28.5,16.1,6.3,21.6,187.7
5707,2018-06-25/2018-07-01,32.6,15.5,1.1,25.4,167.5
5707,2018-07-02/2018-07-08,30.0,18.2,23.400000000000002,22.1,177.9
5707,2018-07-09/2018-07-15,29.5,17.9,100.6,22.1,169.1
5707,2018-07-16/2018-07-22,30.5,16.0,10.1,13.8,132.2
5707,2018-07-23/2018-07-29,30.7,18.6,5.2,13.7,200.0
5707,2018-07-30/2018-08-05,33.4,20.8,0.7999999999999999,13.0,224.3
5707,2018-08-06/2018-08-12,33.3,19.9,47.1,17.8,167.5
5707,2018-08-13/2018-08-19,31.9,17.2,14.2,12.8,163.0
5707,2018-08-20/2018-08-26,33.2,16.6,16.6,28.9,194.4
5707,2018-08-27/2018-09-02,29.1,14.6,30.2,22.1,173.8
5707,2018-09-03/2018-09-09,26.6,13.9,11.7,10.5,155.2
5707,2018-09-10/2018-09-16,28.5,17.8,24.5,13.4,172.4
5707,2018-09-17/2018-09-23,27.5,16.5,10.5,16.6,166.9
5707,2018-09-24/2018-09-30,24.6,7.7,1.3,31.9,137.3
5707,2018-10-01/2018-10-07,22.4,8.4,18.0,27.6,99.2
5707,2018-10-08/2018-10-14,23.2,11.9,26.7,16.0,114.8
5707,2018-10-15/2018-10-21,22.6,10.5,3.7,28.0,104.9
5707,2018-10-22/2018-10-28,26.5,6.6,90.9,31.6,83.1
5707,2018-10-29/2018-11-04,17.6,9.1,100.10000000000001,45.4,72.2
5707,2018-11-05/2018-11-11,16.4,10.9,81.6,22.3,61.5
5707,2018-11-12/2018-11-18,16.4,1.4,6.5,15.2,63.8
5707,2018-11-19/2018-11-25,11.2,0.9,29.2,13.6,40.2
5707,2018-11-26/2018-12-02,14.2,-0.0,1.0,26.4,55.4
5707,2018-12-03/2018-12-09,15.3,0.4,3.4000000000000004,24.5,65.5
5707,2018-12-10/2018-12-16,12.8,-5.0,0.0,31.8,58.5
5707,2018-12-17/2018-12-23,8.1,-4.6,2.8000000000000003,11.7,15.3
5707,2018-12-24/2018-12-30,15.6,-4.0,0.2,28.4,61.4
5707,2018-12-31/2019-01-06,14.2,-5.0,0.0,42.1,69.8
5707,2019-01-07/2019-01-13,12.3,-3.1,0.0,26.4,72.6
5707,2019-01-14/2019-01-20,13.6,-3.3,0.30000000000000004,38.4,77.5
5707,2019-01-21/2019-01-27,8.4,-4.7,1.3,16.3,42.3
5707,2019-01-28/2019-02-03,10.5,-3.1,28.099999999999998,32.1,76.8
5707,2019-02-04/2019-02-10,10.8,-3.7,0.9,21.3,79.6
5707,2019-02-11/2019-02-17,13.5,-2.5,0.0,23.3,86.9
5707,2019-02-18/2019-02-24,20.2,-1.6,0.0,25.3,98.9
5707,2019-02-25/2019-03-03,18.4,-1.6,0.0,26.7,96.6
5707,2019-03-04/2019-03-10,16.6,1.3,29.0,17.8,96.0
5707,2019-03-11/2019-03-17,14.6,2.0,0.3,35.4,92.4
5707,2019-03-18/2019-03-24,22.1,0.6,0.0,11.9,117.4
5707,2019-03-25/2019-03-31,22.3,3.5,0.8,44.8,127.7
5707,2019-04-01/2019-04-07,21.1,4.3,50.5,34.9,115.4
5707,2019-04-08/2019-04-14,18.5,3.7,49.6,17.3,111.6
5707,2019-04-15/2019-04-21,21.5,4.5,1.1,14.8,123.2
5707,2019-04-22/2019-04-28,19.9,7.4,74.5,23.7,108.9
5707,2019-04-29/2019-05-05,21.2,7.4,29.7,27.0,117.1
5707,2019-05-06/2019-05-12,20.1,5.1,35.5,28.2,110.7
5707,2019-05-13/2019-05-19,20.9,4.9,44.6,24.3,96.5
5707,2019-05-20/2019-05-26,23.5,9.8,21.3,16.7,135.1
5707,2019-05-27/2019-06-02,28.3,10.7,12.6,16.8,158.7
5707,2019-06-03/2019-06-09,29.9,15.6,16.4,19.5,153.3
5707,2019-06-10/2019-06-16,28.7,14.4,120.4,19.7,167.0
5707,2019-06-17/2019-06-23,29.1,16.1,17.7,15.5,199.9
5707,2019-06-24/2019-06-30,38.5,18.0,0.0,20.0,271.5
5707,2019-07-01/2019-07-07,34.9,18.8,4.8999999999999995,24.1,209.1
5707,2019-07-08/2019-07-14,33.3,19.4,22.5,18.8,162.9
5707,2019-07-15/2019-07-21,33.3,14.8,40.5,21.8,170.4
5707,2019-07-22/2019-07-28,36.1,18.9,30.2,18.8,229.4
5707,2019-07-29/2019-08-04,31.3,15.8,11.6,22.2,154.3
5707,2019-08-05/2019-08-11,31.4,18.4,23.5,21.3,157.9
5707,2019-08-12/2019-08-18,28.9,17.8,5.6,25.9,144.9
5707,2019-08-19/2019-08-25,30.7,18.4,35.0,24.7,174.1
5707,2019-08-26/2019-09-01,30.9,17.8,32.7,18.6,155.7
5707,2019-09-02/2019-09-08,27.4,12.4,91.4,31.1,137.9
5707,2019-09-09/2019-09-15,27.1,10.3,1.1,15.4,173.0
5707,2019-09-16/2019-09-22,28.4,10.7,18.1,19.4,148.4
5707,2019-09-23/2019-09-29,24.5,11.4,6.800000000000001,12.7,98.2
5707,2019-09-30/2019-10-06,26.3,8.9,7.6,35.9,100.3
5707,2019-10-07/2019-10-13,21.1,8.7,23.099999999999998,15.5,63.7
5707,2019-10-14/2019-10-20,20.2,8.8,106.7,26.1,89.7
5707,2019-10-21/2019-10-27,21.3,11.8,80.7,26.7,56.1
5707,2019-10-28/2019-11-03,18.9,8.3,31.700000000000003,14.1,37.0
5707,2019-11-04/2019-11-10,16.6,3.7,60.599999999999994,13.3,43.6
5707,2019-11-11/2019-11-17,13.6,3.2,59.1,34.4,83.3
5707,2019-11-18/2019-11-24,12.1,2.6,120.3,31.7,74.9
5707,2019-11-25/2019-12-01,17.2,2.4,47.0,14.2,43.2
5707,2019-12-02/2019-12-08,10.2,-3.5,3.3,11.9,33.7
5707,2019-12-09/2019-12-15,11.2,-1.9,4.6,25.4,83.4
5707,2019-12-16/2019-12-22,12.3,4.5,90.5,32.4,42.7
5707,2019-12-23/2019-12-29,14.6,-2.2,0.0,18.1,73.0
5707,2019-12-30/2020-01-05,12.3,-3.2,0.0,19.4,36.1
5707,2020-01-06/2020-01-12,9.3,-3.8,0.3,11.8,30.9
5707,2020-01-13/2020-01-19,9.5,-3.0,7.7,14.8,34.2
5707,2020-01-20/2020-01-26,9.8,-4.9,0.30000000000000004,13.5,55.5
5707,2020-01-27/2020-02-02,12.8,-1.8,2.4000000000000004,15.5,53.8
5707,2020-02-03/2020-02-09,16.2,-3.6,0.3,40.2,93.2
5707,2020-02-10/2020-02-16,16.9,-0.6,1.2,15.3,89.9
5707,2020-02-17/2020-02-23,16.3,-0.6,4.3,16.6,74.6
5707,2020-02-24/2020-03-01,19.2,-0.5,8.3,34.8,95.3
5707,2020-03-02/2020-03-08,14.9,1.0,66.2,26.2,100.8
5707,2020-03-09/2020-03-15,18.8,2.0,7.3999999999999995,21.2,80.2
5707,2020-03-16/2020-03-22,19.1,2.6,0.8,22.0,107.2
5707,2020-03-23/2020-03-29,17.4,-1.1,8.0,23.4,96.9
5707,2020-03-30/2020-04-05,17.3,-2.1,20.9,25.6,121.8
5707,2020-04-06/2020-04-12,24.0,5.5,0.0,13.2,131.3
5707,2020-04-13/2020-04-19,22.8,5.0,1.6,28.7,118.3
5707,2020-04-20/2020-04-26,22.8,7.4,27.9,18.7,133.2
5707,2020-04-27/2020-05-03,22.5,9.7,33.1,21.2,120.3
5707,2020-05-04/2020-05-10,25.5,10.8,5.4,17.5,156.2
5707,2020-05-11/2020-05-17,21.8,11.5,98.9,29.1,115.0
